Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
MCX,mcx_fo,NATURALGAS,246060,OPTFUT,CE,890,NATURALGAS22OCT890CE,NATURALGAS22OCT890CE,NATURALGAS 21OCT22 890 CE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246061,OPTFUT,PE,890,NATURALGAS22OCT890PE,NATURALGAS22OCT890PE,NATURALGAS 21OCT22 890 PE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246078,OPTFUT,CE,895,NATURALGAS22OCT895CE,NATURALGAS22OCT895CE,NATURALGAS 21OCT22 895 CE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246079,OPTFUT,PE,895,NATURALGAS22OCT895PE,NATURALGAS22OCT895PE,NATURALGAS 21OCT22 895 PE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246080,OPTFUT,CE,900,NATURALGAS22OCT900CE,NATURALGAS22OCT900CE,NATURALGAS 21OCT22 900 CE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246081,OPTFUT,PE,900,NATURALGAS22OCT900PE,NATURALGAS22OCT900PE,NATURALGAS 21OCT22 900 PE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246276,OPTFUT,CE,905,NATURALGAS22OCT905CE,NATURALGAS22OCT905CE,NATURALGAS 21OCT22 905 CE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246277,OPTFUT,PE,905,NATURALGAS22OCT905PE,NATURALGAS22OCT905PE,NATURALGAS 21OCT22 905 PE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246278,OPTFUT,CE,910,NATURALGAS22OCT910CE,NATURALGAS22OCT910CE,NATURALGAS 21OCT22 910 CE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246279,OPTFUT,PE,910,NATURALGAS22OCT910PE,NATURALGAS22OCT910PE,NATURALGAS 21OCT22 910 PE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246280,OPTFUT,CE,915,NATURALGAS22OCT915CE,NATURALGAS22OCT915CE,NATURALGAS 21OCT22 915 CE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246281,OPTFUT,PE,915,NATURALGAS22OCT915PE,NATURALGAS22OCT915PE,NATURALGAS 21OCT22 915 PE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246282,OPTFUT,CE,920,NATURALGAS22OCT920CE,NATURALGAS22OCT920CE,NATURALGAS 21OCT22 920 CE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246283,OPTFUT,PE,920,NATURALGAS22OCT920PE,NATURALGAS22OCT920PE,NATURALGAS 21OCT22 920 PE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246284,OPTFUT,CE,925,NATURALGAS22OCT925CE,NATURALGAS22OCT925CE,NATURALGAS 21OCT22 925 CE,2022-10-21,1250,0.05
MCX,mcx_fo,NATURALGAS,246285,OPTFUT,PE,925,NATURALGAS22OCT925PE,NATURALGAS22OCT925PE,NATURALGAS 21OCT22 925 PE,2022-10-21,1250,0.05
MCX,mcx_fo,COPPER,245617,OPTFUT,CE,615,COPPER22NOV615CE,COPPER22NOV615CE,COPPER 21NOV22 615 CE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245618,OPTFUT,PE,615,COPPER22NOV615PE,COPPER22NOV615PE,COPPER 21NOV22 615 PE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245619,OPTFUT,CE,620,COPPER22NOV620CE,COPPER22NOV620CE,COPPER 21NOV22 620 CE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245620,OPTFUT,PE,620,COPPER22NOV620PE,COPPER22NOV620PE,COPPER 21NOV22 620 PE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245591,OPTFUT,CE,625,COPPER22NOV625CE,COPPER22NOV625CE,COPPER 21NOV22 625 CE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245592,OPTFUT,PE,625,COPPER22NOV625PE,COPPER22NOV625PE,COPPER 21NOV22 625 PE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245493,OPTFUT,CE,630,COPPER22NOV630CE,COPPER22NOV630CE,COPPER 21NOV22 630 CE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245494,OPTFUT,PE,630,COPPER22NOV630PE,COPPER22NOV630PE,COPPER 21NOV22 630 PE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245495,OPTFUT,CE,635,COPPER22NOV635CE,COPPER22NOV635CE,COPPER 21NOV22 635 CE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245496,OPTFUT,PE,635,COPPER22NOV635PE,COPPER22NOV635PE,COPPER 21NOV22 635 PE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245497,OPTFUT,CE,640,COPPER22NOV640CE,COPPER22NOV640CE,COPPER 21NOV22 640 CE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245498,OPTFUT,PE,640,COPPER22NOV640PE,COPPER22NOV640PE,COPPER 21NOV22 640 PE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245499,OPTFUT,CE,645,COPPER22NOV645CE,COPPER22NOV645CE,COPPER 21NOV22 645 CE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245500,OPTFUT,PE,645,COPPER22NOV645PE,COPPER22NOV645PE,COPPER 21NOV22 645 PE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245501,OPTFUT,CE,650,COPPER22NOV650CE,COPPER22NOV650CE,COPPER 21NOV22 650 CE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245502,OPTFUT,PE,650,COPPER22NOV650PE,COPPER22NOV650PE,COPPER 21NOV22 650 PE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245503,OPTFUT,CE,655,COPPER22NOV655CE,COPPER22NOV655CE,COPPER 21NOV22 655 CE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245504,OPTFUT,PE,655,COPPER22NOV655PE,COPPER22NOV655PE,COPPER 21NOV22 655 PE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245505,OPTFUT,CE,660,COPPER22NOV660CE,COPPER22NOV660CE,COPPER 21NOV22 660 CE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245506,OPTFUT,PE,660,COPPER22NOV660PE,COPPER22NOV660PE,COPPER 21NOV22 660 PE,2022-11-21,2500,0.01
MCX,mcx_fo,COPPER,245507,OPTFUT,CE,665,COPPER22NOV665CE,COPPER22NOV665CE,COPPER 21NOV22 665 CE,2022-11-21,2500,0.01
MCX,mcx_fo,GOLDM,244430,OPTFUT,CE,53400,GOLDM22SEP53400CE,GOLDM22SEP53400CE,GOLDM 23SEP22 53400 CE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244431,OPTFUT,PE,53400,GOLDM22SEP53400PE,GOLDM22SEP53400PE,GOLDM 23SEP22 53400 PE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244432,OPTFUT,CE,53500,GOLDM22SEP53500CE,GOLDM22SEP53500CE,GOLDM 23SEP22 53500 CE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244433,OPTFUT,PE,53500,GOLDM22SEP53500PE,GOLDM22SEP53500PE,GOLDM 23SEP22 53500 PE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244434,OPTFUT,CE,53600,GOLDM22SEP53600CE,GOLDM22SEP53600CE,GOLDM 23SEP22 53600 CE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244435,OPTFUT,PE,53600,GOLDM22SEP53600PE,GOLDM22SEP53600PE,GOLDM 23SEP22 53600 PE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244436,OPTFUT,CE,53700,GOLDM22SEP53700CE,GOLDM22SEP53700CE,GOLDM 23SEP22 53700 CE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244437,OPTFUT,PE,53700,GOLDM22SEP53700PE,GOLDM22SEP53700PE,GOLDM 23SEP22 53700 PE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244438,OPTFUT,CE,53800,GOLDM22SEP53800CE,GOLDM22SEP53800CE,GOLDM 23SEP22 53800 CE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244439,OPTFUT,PE,53800,GOLDM22SEP53800PE,GOLDM22SEP53800PE,GOLDM 23SEP22 53800 PE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244440,OPTFUT,CE,53900,GOLDM22SEP53900CE,GOLDM22SEP53900CE,GOLDM 23SEP22 53900 CE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244441,OPTFUT,PE,53900,GOLDM22SEP53900PE,GOLDM22SEP53900PE,GOLDM 23SEP22 53900 PE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244442,OPTFUT,CE,54000,GOLDM22SEP54000CE,GOLDM22SEP54000CE,GOLDM 23SEP22 54000 CE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244443,OPTFUT,PE,54000,GOLDM22SEP54000PE,GOLDM22SEP54000PE,GOLDM 23SEP22 54000 PE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244444,OPTFUT,CE,54100,GOLDM22SEP54100CE,GOLDM22SEP54100CE,GOLDM 23SEP22 54100 CE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244445,OPTFUT,PE,54100,GOLDM22SEP54100PE,GOLDM22SEP54100PE,GOLDM 23SEP22 54100 PE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,244446,OPTFUT,CE,54200,GOLDM22SEP54200CE,GOLDM22SEP54200CE,GOLDM 23SEP22 54200 CE,2022-09-23,100,0.5
